Epoch     	Mloss_in  	Mloss_out 	Time      |	ML     HCS      RL	|	ML     CCS      RL	|	ML     NCS      RL	|	ML     FCS      RL	|	ML     1JCH     RL	|	ML     1JCC     RL	|	ML     1JNH     RL	|	ML     1JNC     RL	|	ML     1JFC     RL	|	ML     2JCH     RL	|	ML     2JHH     RL	|	ML     2JCC     RL	|	ML     2JNH     RL	|	ML     2JNC     RL	|	ML     2JFH     RL	|	ML     2JFC     RL	|	ML     2JFF     RL	|	ML     3JCH     RL	|	ML     3JHH     RL	|	ML     3JCC     RL	|	ML     3JNH     RL	|	ML     3JNC     RL	|	ML     3JFH     RL	|	ML     3JFC     RL	|	ML     3JFF     RL	|	ML     4JCH     RL	|	ML     4JHH     RL	|	ML     4JCC     RL	|	ML     4JNH     RL	|	ML     4JNC     RL	|	ML     4JFH     RL	|	ML     4JFC     RL	|	ML     4JFF     RL	|
249       	0.0010    	0.0032    	23.849    |	0.0018      0.0295	|	0.0014      0.3950	|	0.0019      1.1042	|	0.0041      0.8241	|	0.0013      0.3270	|	0.0010      0.2791	|	0.0024      0.2169	|	0.0018      0.1220	|	0.0038      0.8902	|	0.0012      0.1327	|	0.0015      0.0763	|	0.0018      0.0940	|	0.0016      0.0501	|	0.0018      0.0605	|	0.0087      0.4470	|	0.0046      0.3800	|	0.0040      1.6022	|	0.0018      0.1037	|	0.0014      0.0741	|	0.0020      0.0820	|	0.0025      0.0298	|	0.0025      0.0285	|	0.0036      0.2351	|	0.0034      0.1738	|	0.0056      1.1631	|	0.0025      0.0399	|	0.0019      0.0318	|	0.0020      0.0334	|	0.0022      0.0132	|	0.0020      0.0138	|	0.0029      0.1079	|	0.0028      0.1121	|	0.0057      0.6663	|
274       	0.0009    	0.0032    	23.726    |	0.0018      0.0290	|	0.0014      0.3832	|	0.0020      1.1291	|	0.0039      0.7960	|	0.0013      0.3217	|	0.0011      0.2820	|	0.0022      0.2004	|	0.0018      0.1231	|	0.0037      0.8649	|	0.0012      0.1310	|	0.0015      0.0751	|	0.0017      0.0934	|	0.0016      0.0481	|	0.0018      0.0607	|	0.0090      0.4593	|	0.0044      0.3572	|	0.0039      1.5483	|	0.0018      0.1024	|	0.0014      0.0739	|	0.0019      0.0803	|	0.0025      0.0297	|	0.0025      0.0287	|	0.0035      0.2331	|	0.0035      0.1772	|	0.0056      1.1687	|	0.0024      0.0390	|	0.0019      0.0311	|	0.0020      0.0327	|	0.0022      0.0132	|	0.0020      0.0137	|	0.0030      0.1096	|	0.0028      0.1094	|	0.0058      0.6724	|
299       	0.0009    	0.0032    	23.478    |	0.0017      0.0284	|	0.0014      0.3823	|	0.0019      1.0779	|	0.0040      0.8020	|	0.0013      0.3198	|	0.0010      0.2726	|	0.0022      0.2005	|	0.0018      0.1215	|	0.0036      0.8437	|	0.0011      0.1286	|	0.0014      0.0734	|	0.0017      0.0909	|	0.0016      0.0479	|	0.0017      0.0591	|	0.0086      0.4404	|	0.0042      0.3427	|	0.0043      1.6908	|	0.0018      0.0995	|	0.0013      0.0717	|	0.0019      0.0784	|	0.0025      0.0292	|	0.0025      0.0279	|	0.0037      0.2447	|	0.0034      0.1724	|	0.0050      1.0362	|	0.0024      0.0383	|	0.0018      0.0308	|	0.0019      0.0321	|	0.0021      0.0130	|	0.0020      0.0135	|	0.0030      0.1082	|	0.0029      0.1147	|	0.0054      0.6326	|
324       	0.0009    	0.0034    	23.730    |	0.0017      0.0281	|	0.0014      0.3771	|	0.0019      1.0600	|	0.0038      0.7676	|	0.0013      0.3181	|	0.0010      0.2687	|	0.0022      0.2001	|	0.0018      0.1181	|	0.0036      0.8280	|	0.0011      0.1289	|	0.0014      0.0742	|	0.0017      0.0909	|	0.0016      0.0487	|	0.0017      0.0591	|	0.0082      0.4216	|	0.0043      0.3555	|	0.0041      1.6138	|	0.0017      0.0976	|	0.0013      0.0711	|	0.0019      0.0779	|	0.0025      0.0291	|	0.0025      0.0280	|	0.0038      0.2466	|	0.0034      0.1705	|	0.0058      1.1989	|	0.0024      0.0379	|	0.0018      0.0305	|	0.0019      0.0320	|	0.0021      0.0130	|	0.0020      0.0135	|	0.0029      0.1062	|	0.0028      0.1128	|	0.0058      0.6731	|
349       	0.0009    	0.0033    	23.518    |	0.0017      0.0280	|	0.0014      0.3745	|	0.0019      1.0682	|	0.0037      0.7557	|	0.0012      0.3082	|	0.0010      0.2655	|	0.0022      0.2029	|	0.0018      0.1178	|	0.0036      0.8445	|	0.0011      0.1263	|	0.0014      0.0717	|	0.0016      0.0878	|	0.0016      0.0478	|	0.0017      0.0573	|	0.0080      0.4083	|	0.0043      0.3496	|	0.0039      1.5469	|	0.0017      0.0963	|	0.0013      0.0705	|	0.0018      0.0757	|	0.0024      0.0285	|	0.0025      0.0277	|	0.0036      0.2369	|	0.0032      0.1624	|	0.0044      0.9028	|	0.0023      0.0367	|	0.0018      0.0296	|	0.0019      0.0308	|	0.0020      0.0125	|	0.0019      0.0131	|	0.0028      0.1039	|	0.0026      0.1032	|	0.0057      0.6676	|
374       	0.0009    	0.0033    	23.461    |	0.0017      0.0276	|	0.0013      0.3692	|	0.0019      1.0757	|	0.0036      0.7344	|	0.0012      0.3041	|	0.0010      0.2580	|	0.0022      0.1980	|	0.0017      0.1150	|	0.0034      0.7789	|	0.0011      0.1240	|	0.0014      0.0707	|	0.0016      0.0865	|	0.0015      0.0461	|	0.0017      0.0570	|	0.0084      0.4295	|	0.0039      0.3229	|	0.0035      1.3817	|	0.0017      0.0937	|	0.0013      0.0684	|	0.0018      0.0744	|	0.0024      0.0280	|	0.0024      0.0270	|	0.0036      0.2356	|	0.0032      0.1614	|	0.0052      1.0729	|	0.0022      0.0360	|	0.0017      0.0293	|	0.0018      0.0304	|	0.0020      0.0124	|	0.0019      0.0129	|	0.0028      0.1041	|	0.0028      0.1097	|	0.0054      0.6297	|
399       	0.0009    	0.0031    	23.359    |	0.0017      0.0272	|	0.0013      0.3687	|	0.0018      1.0381	|	0.0037      0.7430	|	0.0012      0.2978	|	0.0010      0.2569	|	0.0022      0.1989	|	0.0017      0.1151	|	0.0035      0.8148	|	0.0011      0.1207	|	0.0014      0.0717	|	0.0016      0.0860	|	0.0015      0.0455	|	0.0016      0.0561	|	0.0079      0.4032	|	0.0040      0.3287	|	0.0035      1.3986	|	0.0016      0.0923	|	0.0012      0.0676	|	0.0018      0.0736	|	0.0024      0.0277	|	0.0024      0.0269	|	0.0035      0.2272	|	0.0031      0.1574	|	0.0042      0.8713	|	0.0022      0.0355	|	0.0017      0.0289	|	0.0018      0.0302	|	0.0020      0.0123	|	0.0019      0.0127	|	0.0028      0.1029	|	0.0027      0.1067	|	0.0056      0.6572	|
424       	0.0009    	0.0031    	23.646    |	0.0016      0.0267	|	0.0013      0.3616	|	0.0018      1.0340	|	0.0036      0.7325	|	0.0012      0.2951	|	0.0009      0.2482	|	0.0022      0.1964	|	0.0017      0.1142	|	0.0034      0.7873	|	0.0011      0.1214	|	0.0013      0.0688	|	0.0016      0.0849	|	0.0015      0.0464	|	0.0016      0.0556	|	0.0079      0.4035	|	0.0041      0.3366	|	0.0039      1.5376	|	0.0016      0.0915	|	0.0012      0.0666	|	0.0017      0.0724	|	0.0023      0.0274	|	0.0024      0.0265	|	0.0035      0.2268	|	0.0032      0.1616	|	0.0045      0.9275	|	0.0022      0.0350	|	0.0017      0.0285	|	0.0018      0.0295	|	0.0020      0.0122	|	0.0019      0.0127	|	0.0028      0.1027	|	0.0027      0.1084	|	0.0056      0.6579	|
449       	0.0009    	0.0033    	23.365    |	0.0017      0.0269	|	0.0013      0.3594	|	0.0018      1.0267	|	0.0036      0.7204	|	0.0011      0.2826	|	0.0009      0.2480	|	0.0021      0.1940	|	0.0017      0.1118	|	0.0034      0.7935	|	0.0010      0.1150	|	0.0013      0.0682	|	0.0015      0.0820	|	0.0015      0.0450	|	0.0016      0.0553	|	0.0081      0.4168	|	0.0039      0.3240	|	0.0039      1.5331	|	0.0016      0.0897	|	0.0012      0.0651	|	0.0017      0.0706	|	0.0023      0.0274	|	0.0023      0.0264	|	0.0034      0.2206	|	0.0033      0.1689	|	0.0043      0.8907	|	0.0021      0.0340	|	0.0017      0.0277	|	0.0017      0.0286	|	0.0020      0.0121	|	0.0018      0.0123	|	0.0028      0.1011	|	0.0026      0.1048	|	0.0054      0.6336	|
474       	0.0009    	0.0031    	23.663    |	0.0016      0.0265	|	0.0013      0.3548	|	0.0018      1.0387	|	0.0036      0.7242	|	0.0011      0.2883	|	0.0009      0.2521	|	0.0022      0.2003	|	0.0017      0.1136	|	0.0035      0.8050	|	0.0010      0.1151	|	0.0013      0.0684	|	0.0015      0.0825	|	0.0015      0.0460	|	0.0016      0.0547	|	0.0080      0.4118	|	0.0041      0.3352	|	0.0037      1.4779	|	0.0016      0.0892	|	0.0012      0.0658	|	0.0017      0.0709	|	0.0023      0.0271	|	0.0023      0.0262	|	0.0036      0.2334	|	0.0031      0.1594	|	0.0049      1.0128	|	0.0021      0.0337	|	0.0016      0.0275	|	0.0017      0.0286	|	0.0019      0.0117	|	0.0018      0.0124	|	0.0027      0.0992	|	0.0027      0.1061	|	0.0054      0.6247	|
